iter	 test_squ_loss	 test_avg_prec	 train_squ_loss	 train_avg_prec	 regularization	 time (in s)
63001 	 7.73866964 	 0.57034957 	 0.08676953 	 0.56885901 	 121.874 	 138.80504942
64001 	 7.71867204 	 0.57450775 	 0.09529315 	 0.57690892 	 122.697 	 137.86619973
65001 	 7.73976612 	 0.57479463 	 0.08302266 	 0.56550974 	 123.596 	 137.50703454
66001 	 7.73866109 	 0.57405047 	 0.08310267 	 0.56690247 	 124.286 	 137.11861181
67001 	 7.69793135 	 0.57480509 	 0.08201977 	 0.57009673 	 125.18 	 138.47366285
68001 	 7.71885744 	 0.57412539 	 0.08370657 	 0.57157301 	 125.666 	 137.32944036
69001 	 7.75484329 	 0.57230196 	 0.09118365 	 0.58039541 	 126.704 	 136.41301847
70001 	 7.7176948 	 0.57266243 	 0.08326786 	 0.58092534 	 127.157 	 136.74037623
71001 	 7.71253064 	 0.5750016 	 0.08067714 	 0.5677473 	 128.118 	 137.08519888
72001 	 7.72367563 	 0.57300434 	 0.08308929 	 0.56365331 	 128.749 	 136.31215453
73001 	 7.74233599 	 0.57454239 	 0.0824884 	 0.56271313 	 129.424 	 136.12238503
74001 	 7.73062369 	 0.57350297 	 0.08297927 	 0.5831113 	 130.119 	 134.83877611
75001 	 7.73365418 	 0.57432493 	 0.08309994 	 0.57786709 	 130.978 	 140.30002475
76001 	 7.70904916 	 0.57578743 	 0.08763687 	 0.58427679 	 131.837 	 137.35209179
77001 	 7.70215273 	 0.57491539 	 0.08070376 	 0.56501108 	 132.98 	 136.27231431
78001 	 7.72031843 	 0.57386198 	 0.09417909 	 0.57666056 	 133.78 	 139.88508821
79001 	 7.69591637 	 0.5759995 	 0.08375461 	 0.57117971 	 134.759 	 138.63769937
80001 	 7.70262257 	 0.57600812 	 0.08161637 	 0.5785837 	 135.261 	 137.17680359
81001 	 7.66882828 	 0.57804683 	 0.08310202 	 0.57882818 	 136.026 	 141.53446937
82001 	 7.73416822 	 0.57315004 	 0.09304527 	 0.58643615 	 137.257 	 135.42356038
83001 	 7.66981651 	 0.57773848 	 0.08547927 	 0.57431977 	 137.948 	 134.53681898
84001 	 7.69285776 	 0.57467348 	 0.08188956 	 0.58487757 	 138.242 	 138.9583323
85001 	 7.64649811 	 0.57960275 	 0.08499015 	 0.57619605 	 138.927 	 135.60211849
86001 	 7.6908854 	 0.57644502 	 0.08215094 	 0.58186115 	 140.041 	 137.72399807
87001 	 7.68531555 	 0.57570096 	 0.08263571 	 0.58880793 	 140.5 	 136.75673485
88001 	 7.65416022 	 0.57703534 	 0.08180752 	 0.5864901 	 140.901 	 136.32882977
89001 	 7.66864491 	 0.57822944 	 0.08013879 	 0.58755714 	 142.149 	 135.09095383
90001 	 7.66544121 	 0.57710374 	 0.08140169 	 0.59098512 	 142.857 	 134.08686686
91001 	 7.65219599 	 0.58057885 	 0.08310507 	 0.58901587 	 143.952 	 135.47721624
92001 	 7.68026449 	 0.57784553 	 0.08336313 	 0.58498327 	 144.492 	 140.7147131
93001 	 7.66185666 	 0.5783512 	 0.07846557 	 0.59234068 	 145.296 	 134.35518217
94001 	 7.6395028 	 0.58051522 	 0.07977113 	 0.58204985 	 146.065 	 135.04080892
95001 	 7.63595616 	 0.58082301 	 0.08156293 	 0.57811244 	 147.213 	 132.86992788
96001 	 7.61998329 	 0.58148664 	 0.08312063 	 0.59018456 	 147.929 	 145.04357243
97001 	 7.68362365 	 0.5764058 	 0.07853932 	 0.59783402 	 148.609 	 135.80319166

98001 	 7.66231827 	 0.57783762 	 0.07984687 	 0.58590637 	 148.901 	 135.32474732
99001 	 7.64612275 	 0.58011314 	 0.08456636 	 0.58282792 	 149.921 	 136.65179276

TRAINING DONE

