iter	 test_squ_loss	 test_avg_prec	 train_squ_loss	 train_avg_prec	 regularization	 time (in s)
64001 	 7.21221453 	 0.62855928 	 0.23535029 	 0.6852174 	 1051.27 	 360.43798184
65001 	 7.189383 	 0.62979592 	 0.4094701 	 0.67807138 	 1064.65 	 360.57268381
66001 	 7.18175739 	 0.6289202 	 0.17006676 	 0.69001015 	 1079.09 	 354.25973988
67001 	 7.21280979 	 0.6277735 	 0.12948334 	 0.68922844 	 1092.18 	 356.07523417
68001 	 7.12928725 	 0.63431677 	 0.16952533 	 0.6940807 	 1105.89 	 354.36407876
69001 	 7.15447463 	 0.63259774 	 0.29799209 	 0.68914845 	 1119.92 	 356.4272809
70001 	 7.13895452 	 0.63401131 	 0.14065197 	 0.70680919 	 1133.68 	 359.26576042
71001 	 7.16983879 	 0.63113436 	 0.12833405 	 0.69432838 	 1148.48 	 354.037745
72001 	 7.16008521 	 0.63195124 	 0.12972685 	 0.69422283 	 1162.19 	 353.56220412
73001 	 7.21279116 	 0.62654429 	 0.1102088 	 0.70497847 	 1177.08 	 356.61210752
74001 	 7.19635851 	 0.62802077 	 0.24129184 	 0.702011 	 1188.84 	 352.27548146
75001 	 7.17178733 	 0.63181091 	 0.11656336 	 0.71278199 	 1201.76 	 353.67642021
76001 	 7.16655917 	 0.63088413 	 0.19329684 	 0.70671552 	 1215.53 	 355.94256926
77001 	 7.13989681 	 0.63359304 	 0.15287715 	 0.7036948 	 1229.36 	 359.21173263
78001 	 7.23543224 	 0.62917909 	 0.1849143 	 0.69531359 	 1244.05 	 351.89515877
79001 	 7.18926098 	 0.63065765 	 0.22218781 	 0.69007432 	 1258.3 	 351.18241
80001 	 7.20711941 	 0.62642318 	 0.22425702 	 0.69173442 	 1269.5 	 357.90612555
81001 	 7.16225475 	 0.63271389 	 0.14633969 	 0.70267989 	 1282.47 	 359.23172402
82001 	 7.16486707 	 0.6298358 	 0.11553336 	 0.70604352 	 1297.86 	 357.43857574
83001 	 7.16323011 	 0.63176636 	 0.16469597 	 0.71416088 	 1312.71 	 357.60084963
84001 	 7.22229528 	 0.62804588 	 0.22839503 	 0.71233295 	 1324.84 	 358.80164075
85001 	 7.1935489 	 0.62957978 	 0.10593585 	 0.73492177 	 1339.7 	 356.86425853
86001 	 7.18561419 	 0.62612797 	 0.1622518 	 0.72580543 	 1352.91 	 353.22653627
87001 	 7.15901395 	 0.63030535 	 0.26458275 	 0.71111913 	 1367.22 	 352.56197786
88001 	 7.14307879 	 0.6320245 	 0.12020226 	 0.71188925 	 1378.82 	 355.75609326
89001 	 7.16488096 	 0.62996694 	 0.08639631 	 0.72328659 	 1393.5 	 355.38118339
90001 	 7.22278854 	 0.62555254 	 0.21986151 	 0.72981008 	 1408.52 	 353.71410537
91001 	 7.21135023 	 0.62704613 	 0.12621758 	 0.71114296 	 1422.79 	 355.5249095
92001 	 7.12784802 	 0.63554257 	 1.0014278 	 0.7184216 	 1437.17 	 359.33930421
93001 	 7.16225678 	 0.63138742 	 0.09778079 	 0.7174025 	 1447.69 	 359.40092492
94001 	 7.14775572 	 0.63114937 	 0.15666822 	 0.72733761 	 1462.65 	 355.31119251
95001 	 7.13058645 	 0.63183204 	 0.10655963 	 0.72769192 	 1476.12 	 363.26510119
96001 	 7.19264675 	 0.63100617 	 0.08049175 	 0.72015828 	 1490.55 	 355.9132719
97001 	 7.16836709 	 0.62898244 	 0.13427897 	 0.73143687 	 1503.77 	 355.65189362

98001 	 7.10279648 	 0.63594888 	 0.1152668 	 0.72142149 	 1517.67 	 354.1316793
99001 	 7.1575026 	 0.63041511 	 0.13640082 	 0.73334459 	 1531.06 	 357.32894802

TRAINING DONE

